category,datetime,headline,id,image,related,source,summary,url
company,2023-06-27 18:51:00,"American Electric Power Co. Inc. stock falls Tuesday, underperforms market",121154915,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. dropped 0.41% to $83.44 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=b9865d660d3470145a509ea880c3cf072c7c885cde6cb1435e32de8650aa79ad
company,2023-06-26 18:51:00,American Electric Power Co. Inc. stock outperforms competitors on strong trading day,121076816,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.35% higher to $83.78 Monday, on what proved to be an all-around dismal trading session for the stock...",https://finnhub.io/api/news?id=ee8547392d521e5fb5c58307cbcdaaba8ecce198e9c2b6bd5c1fc17caa783152
company,2023-06-26 06:28:00,Ecofin US Renewables Wind Farm Temporarily Ceases Operations After Tornado,121076817,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AEP,MarketWatch,By Joe Hoppe Ecofin U.S. Renewables Infrastructure Trust said Monday that following a recent tornado in Texas its Whirlwind Energy wind farm in Floydada has...,https://finnhub.io/api/news?id=fd382f0f7e9fc63f579b3915095a0b3c99e710c5055a603de438be661a99d303
company,2023-06-28 18:52:00,"American Electric Power Co. Inc. stock falls Wednesday, underperforms market",121154913,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. slipped 2.18% to $81.62 Wednesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=1314c8209271272c59c8b79e3fb20d13de4b06b8df760d67baea4054e7bd9db7
company,2023-06-28 14:49:00,How Is The Market Feeling About American Electric Power?,121095131,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5c3549ea912e14d97655beb5d0b305b36adaef1705cabd900b9ca78cb4fa1d96
company,2023-06-28 03:37:00,Texas power demand surges to new all-time high amid heat wave,121093968,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3033b207c95898fc2dc169227bce34eb880121f35105c3702fe19066fe927b05
company,2023-06-27 18:51:00,"American Electric Power Co. Inc. stock falls Tuesday, underperforms market",121154915,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. dropped 0.41% to $83.44 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=b9865d660d3470145a509ea880c3cf072c7c885cde6cb1435e32de8650aa79ad
company,2023-06-29 22:00:00,Louisiana Public Service Commission Approves SWEPCO Renewable Projects,121132094,https://media.zenfs.com/en/prnewswire.com/7ad1586e58b5ed6d490485f7c00ccb5a,AEP,Yahoo,"Southwestern Electric Power Co., an American Electric Power (Nasdaq: AEP) company, has received approval by the Louisiana Public Service Commission (LPSC) to move forward with its fuel-free power plan to acquire up to 999 megawatts (MW) of renewable generation resources.",https://finnhub.io/api/news?id=22baa2b88d4f22133e18e0d2108ddd3ad520c17348c6768310e00001ba7bef64
company,2023-06-29 18:52:02,Swepco Renewable Projects Approved by Louisiana Public Service Commission,121121360,,AEP,Finnhub,"By Stephen Nakrosis 


  Southwestern Electric Power said its fuel-free power plan to acquire up to 999 megawatts of renewable generation resources has been approved by the Louisiana Public Service Commission. 

  Swepco said the need for capacity is b...",https://finnhub.io/api/news?id=a57cec98be72dcf0c704f4cc55217281b8c0da163c744caa2d216bc989eeddd9
company,2023-06-29 18:52:00,American Electric Power Co. Inc. stock outperforms competitors on strong trading day,121154910,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. rose 2.01% to $83.26 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=501d7011e4e8889d78ec762b9e657a737958b33d79f11af819ddc9d84c5b43bc
company,2023-06-29 06:12:00,Morgan Stanley shakes up its global dividend portfolio,121111999,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2fa712c4fe6663958e924b0af0ad95ee4d3e523b24570f040e6daaac5a706fa2
company,2023-06-29 05:56:00,"American Electric Power gets Louisiana OK to acquire wind, solar resources",121155333,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c7d1d8af1da737b4a7523e592832dfe6e78d9cd717431be8ba6fd4a2f1a835e9
company,2023-06-29 05:48:00,American Electric gets approval to buy 999MW of renewable generation resources,121155335,,AEP,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=187598a465d2c817ffea2739f9eec730d75be5f3373326360252fa9c864038e5
company,2023-06-29 05:31:00,American Electric gets Louisiana OK to acquire renewable generation resources,121155336,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c9a1626d4667a89eb95f3fd083e24357bd48c29c1d093352af08d1643c1bc189
company,2023-06-28 18:52:00,"American Electric Power Co. Inc. stock falls Wednesday, underperforms market",121154913,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. slipped 2.18% to $81.62 Wednesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=1314c8209271272c59c8b79e3fb20d13de4b06b8df760d67baea4054e7bd9db7
company,2023-06-28 14:49:00,How Is The Market Feeling About American Electric Power?,121095131,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5c3549ea912e14d97655beb5d0b305b36adaef1705cabd900b9ca78cb4fa1d96
company,2023-06-28 03:37:00,Texas power demand surges to new all-time high amid heat wave,121093968,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3033b207c95898fc2dc169227bce34eb880121f35105c3702fe19066fe927b05
company,2023-06-30 18:52:00,"American Electric Power Co. Inc. stock rises Friday, still underperforms market",121154908,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. rose 1.13% to $84.20 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=cc469337ff4bf0d1d4f3d47b4e180f84d0d104e348e6e307cae5ab7b886ea8cb
company,2023-06-30 17:03:47,BMO Capital Maintains American Electric Power (AEP) Outperform Recommendation,121141765,,AEP,Fintel,,https://finnhub.io/api/news?id=20b8c1de84a6db7e274672ee23d5b65d2f6dc641a913cacca276659d91d6b28a
company,2023-06-30 12:53:00,UK dividends calendar - next 7 days,121142882,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b7396c45b76f6031ec69a9dc78fe06bb9ae66748cfdcd8608455bb8138b55df4
company,2023-06-30 10:08:00,American Electric price target lowered to $96 from $103 at BMO Capital,121155326,,AEP,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7c98a1a249c015e2c623785733a4d1710e632edbfa6b3cc55fb4c4e0c1d6066b
company,2023-06-30 08:06:00,American Electric Power (AEP) Receives a Buy from BMO Capital,121155328,,AEP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cc33049f7cbae647c375f4d526f0ddc1b9aa0baf5a038ba7565a368b7810b2a4
company,2023-06-30 07:56:00,American Electric Power (AEP) Receives a Buy from Morgan Stanley,121155329,,AEP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e22454234d81ccde4b8fa80daa88c886c635f1b822d5853ed42583dc2c997d0a
company,2023-06-29 22:00:00,Louisiana Public Service Commission Approves SWEPCO Renewable Projects,121132094,https://media.zenfs.com/en/prnewswire.com/7ad1586e58b5ed6d490485f7c00ccb5a,AEP,Yahoo,"Southwestern Electric Power Co., an American Electric Power (Nasdaq: AEP) company, has received approval by the Louisiana Public Service Commission (LPSC) to move forward with its fuel-free power plan to acquire up to 999 megawatts (MW) of renewable generation resources.",https://finnhub.io/api/news?id=22baa2b88d4f22133e18e0d2108ddd3ad520c17348c6768310e00001ba7bef64
company,2023-06-29 18:52:02,Swepco Renewable Projects Approved by Louisiana Public Service Commission,121121360,,AEP,Finnhub,"By Stephen Nakrosis 


  Southwestern Electric Power said its fuel-free power plan to acquire up to 999 megawatts of renewable generation resources has been approved by the Louisiana Public Service Commission. 

  Swepco said the need for capacity is b...",https://finnhub.io/api/news?id=a57cec98be72dcf0c704f4cc55217281b8c0da163c744caa2d216bc989eeddd9
company,2023-06-29 18:52:00,American Electric Power Co. Inc. stock outperforms competitors on strong trading day,121154910,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. rose 2.01% to $83.26 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=501d7011e4e8889d78ec762b9e657a737958b33d79f11af819ddc9d84c5b43bc
company,2023-06-29 06:12:00,Morgan Stanley shakes up its global dividend portfolio,121111999,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2fa712c4fe6663958e924b0af0ad95ee4d3e523b24570f040e6daaac5a706fa2
company,2023-06-29 05:56:00,"American Electric Power gets Louisiana OK to acquire wind, solar resources",121155333,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c7d1d8af1da737b4a7523e592832dfe6e78d9cd717431be8ba6fd4a2f1a835e9
